cod_cnpm|cod_cim|obs|den_produs|forma|concentr|firma|dci|ambalaj|grupa|pret_prod|pret_rid|pret_am|statut_frm|statut_anm|stare
5FLEBE0013|W43451005||"5-FLUOROURACIL ""EBEWE"" 50mg/ml"|CONC. PT. SOL. INJ. / PERF.|50mg/ml|EBEWE PHARMA GES. M.B.H. NFG. KG - AUSTRIA|FLUOROURACILUM|Cutie x 1 flacon din sticla incolora bruna x 20ml concentrat pentru solutie injectabila / perfuzabila  ; (2 ani)|L01BC02|11.97|13.64|18.44|MG|generic|
5FLEBE0021|W43451001||"5-FLUOROURACIL ""EBEWE"" 50mg/ml"|CONC. PT. SOL. INJ. / PERF.|50mg/ml|EBEWE PHARMA GES. M.B.H. NFG. KG - AUSTRIA|FLUOROURACILUM|Cutie x 1 flacon din sticla incolora bruna x 5ml concentrat pentru solutie injectabila / perfuzabila ; (2 ani)|L01BC02|5.54|6.32|8.54|MG|generic|
5FLEBE0039|W43451006||"5-FLUOROURACIL ""EBEWE"" 50mg/ml"|CONC. PT. SOL. INJ. / PERF.|50mg/ml|EBEWE PHARMA GES. M.B.H. NFG. KG - AUSTRIA|FLUOROURACILUM|Cutie x 1 flacon din sticla incolora bruna  x  100ml concentrat pentru solutie injectabila / perfuzabila ; (2 ani)|L01BC02|61.3|68.66|86.81|MG|generic|
5FLEBE0047|W43451003||"5-FLUOROURACIL ""EBEWE"" 50mg/ml"|CONC. PT. SOL. INJ. / PERF.|50mg/ml|EBEWE PHARMA GES. M.B.H. NFG. KG - AUSTRIA|FLUOROURACILUM|Cutie x 1 flacon din sticla incolora bruna x 10ml concentrat pentru solutie injectabila / perfuzabila  ; (2 ani)|L01BC02|9.8|11.17|15.1|MG|generic|
ABIBRI0017|W41602002||ABILIFY 10mg|COMPR.|10mg|OTSUKA PHARMACEUTICAL EUROPE LTD - MAREA BRITANIE|ARIPIPRAZOLUM|Cutie x 4 blistere folie Al/Al x 7 comprimate (3 ani)|N05AX12|322.04|352.04|421.87|MI|inovativ|
ABIBRI0025|W41603002||ABILIFY 15mg|COMPR.|15mg|OTSUKA PHARMACEUTICAL EUROPE LTD - MAREA BRITANIE|ARIPIPRAZOLUM|Cutie x 4 blistere folie Al/Al x 7 comprimate (3 ani)|N05AX12|317.02|347.02|416.4|MI|inovativ|
ABIOTS0018|W52520001||ABILIFY 7.5mg/ml|SOL. INJ.|7.5mg/ml|OTSUKA PHARMACEUTICAL EUROPE LTD - MAREA BRITANIE|ARIPIPRAZOLUM|Cutie x 1 flacon x 1.3ml solutie injectabila (18 luni)|N05AX12|12.95|14.76|19.95|MI|inovativ|
ABIOTS0026|W60305001||ABILIFY MAINTENA 400mg|PULB. + SOLV. PT. SUSP. INJ. CU ELIB. PREL.|400mg|OTSUKA PHARMACEUTICAL EUROPE LTD - MAREA BRITANIE|ARIPIPRAZOLUM|Cutie x 1 flacon x 400mg [ulbere, 1flacon x 2ml solvent, 1seringa Luer-Lock x 3ml cu ac hipodermic securizat, 1seringa jetabila x 3ml cu varf Luer-Lock, 1adaptor pentru flacon, 1ac hipodermic securizat si 1 ac hipodermic securizat pentru obezi|N05AX12|1361.33|1391.33|1554.7|MI|inovativ|
ACCHEX0022|W06666001|!|ACC INJEKT 300mg/3ml|SOL. INJ.|300mg/3ml|HEXAL AG - GERMANIA|ACETYLCYSTEINUM|Cutie x 5 fiole din sticla bruna x 3ml solutie injectabila (2 ani)|R05CB01|4.9|5.59|7.55|MG|generic|DC
ACCGOD0013|W05345001||ACCUPRO®  10mg|COMPR. FILM.|10mg|PFIZER EUROPE MA EEIG - MAREA BRITANIE|QUINAPRILUM|Cutie x 3 blist. x 10 compr. film.; (3 ani)|C09AA06|7.59|8.65|11.69|MP|inovativ|
